Shimmer_3B52_Timestamp_Shimmer_CAL,Shimmer_3B52_Accel_LN_X_CAL,Shimmer_3B52_Accel_LN_Y_CAL,Shimmer_3B52_Accel_LN_Z_CAL,Shimmer_3B52_Accel_WR_X_CAL,Shimmer_3B52_Accel_WR_Y_CAL,Shimmer_3B52_Accel_WR_Z_CAL,Shimmer_3B52_GSR_Range_CAL,Shimmer_3B52_GSR_Skin_Conductance_CAL,Shimmer_3B52_GSR_Skin_Resistance_CAL,Shimmer_3B52_Gyro_X_CAL,Shimmer_3B52_Gyro_Y_CAL,Shimmer_3B52_Gyro_Z_CAL,Shimmer_3B52_Mag_X_CAL,Shimmer_3B52_Mag_Y_CAL,Shimmer_3B52_Mag_Z_CAL,Shimmer_3B52_PPG_A12_CAL
812003.6621,2,10.83695652,1.847826087,0.02154398564,10.29084381,0.236983842,3,0.004662004662,214500,-0.4580152672,1.129770992,-0.8549618321,-0.2383808096,0.7751124438,1.169415292,1479.120879
812008.606,1.989130435,10.82608696,1.847826087,0.06702573309,10.27648115,0.1603830042,3,0.005106005106,195847.8261,-0.06106870229,1.572519084,-1.129770992,-0.2503748126,0.7826086957,1.15892054,1475.457875
812013.5498,1.989130435,10.81521739,1.858695652,0.05984440455,10.25014961,0.2274087373,3,0.004662004662,214500,-0.3969465649,1.633587786,-0.8396946565,-0.2503748126,0.7826086957,1.15892054,1471.062271
812018.4937,1.989130435,10.81521739,1.869565217,0.05505685218,10.2812687,0.1149012567,3,0.004662004662,214500,-0.3511450382,1.465648855,-0.7480916031,-0.2443778111,0.7811094453,1.169415292,1471.062271
812023.4375,1.967391304,10.82608696,1.836956522,0.01436265709,10.28845003,0.1532016756,3,0.005106005106,195847.8261,-0.4427480916,1.160305344,-0.427480916,-0.2443778111,0.7811094453,1.169415292,1470.32967
812028.3813,1.97826087,10.82608696,1.826086957,0.02154398564,10.30281269,0.1867145422,3,0.005106005106,195847.8261,-0.8549618321,1.34351145,-1.007633588,-0.2428785607,0.7886056972,1.164917541,1476.923077
812033.3252,1.97826087,10.83695652,1.836956522,0.05745062837,10.27887493,0.1891083184,3,0.004662004662,214500,-0.2442748092,1.358778626,-0.7328244275,-0.2428785607,0.7886056972,1.164917541,1473.260073
812038.269,1.97826087,10.82608696,1.836956522,0.06463195691,10.31238779,0.1675643327,3,0.004662004662,214500,-0.3816793893,1.145038168,-0.8396946565,-0.2443778111,0.7811094453,1.164917541,1471.794872
812043.2129,1.989130435,10.82608696,1.826086957,0.05745062837,10.29802513,0.1962896469,3,0.005106005106,195847.8261,-0.7175572519,1.358778626,-1.129770992,-0.2443778111,0.7811094453,1.164917541,1477.655678
812048.1567,1.97826087,10.80434783,1.836956522,0.05505685218,10.26690604,0.2130460802,3,0.005106005106,195847.8261,-0.7328244275,1.145038168,-0.8244274809,-0.2473763118,0.7781109445,1.164917541,1473.260073
812053.1006,1.97826087,10.80434783,1.847826087,0.05984440455,10.29323758,0.1627767804,3,0.004662004662,214500,-0.4580152672,1.099236641,-0.9160305344,-0.2473763118,0.7781109445,1.164917541,1473.992674
812058.0444,1.97826087,10.83695652,1.847826087,0.07660083782,10.31238779,0.2010771993,3,0.005106005106,195847.8261,-0.5496183206,1.160305344,-1.038167939,-0.2368815592,0.7931034483,1.172413793,1476.923077
812062.9883,1.967391304,10.85869565,1.847826087,0.078994614,10.30281269,0.1938958707,3,0.005106005106,195847.8261,-0.641221374,1.297709924,-0.8244274809,-0.2368815592,0.7931034483,1.172413793,1475.457875
812067.9321,1.967391304,10.83695652,1.858695652,0.01436265709,10.29084381,0.1795332136,3,0.004662004662,214500,-0.4732824427,1.34351145,-0.8244274809,-0.2458770615,0.7901049475,1.164917541,1473.260073
812072.876,1.989130435,10.82608696,1.858695652,0.06223818073,10.24775583,0.1938958707,3,0.005106005106,195847.8261,-0.4122137405,1.038167939,-0.9160305344,-0.2458770615,0.7901049475,1.164917541,1470.32967
812077.8198,1.97826087,10.82608696,1.815217391,0.05745062837,10.28845003,0.1699581089,3,0.004662004662,214500,-0.07633587786,1.801526718,-0.9160305344,-0.2443778111,0.7856071964,1.164917541,1476.923077
812082.7637,1.97826087,10.83695652,1.836956522,0.05026929982,10.28605625,0.1699581089,3,0.004662004662,214500,-0.3358778626,2.320610687,-0.7328244275,-0.2443778111,0.7856071964,1.164917541,1475.457875
812087.7075,1.989130435,10.83695652,1.836956522,0.06941950928,10.29323758,0.1412327947,3,0.004662004662,214500,-0.1374045802,2.763358779,-0.9312977099,-0.2443778111,0.784107946,1.166416792,1472.527473
812092.6514,2.010869565,10.82608696,1.815217391,0.08138839019,10.26929982,0.1149012567,3,0.005106005106,195847.8261,-0.106870229,3.496183206,-0.7175572519,-0.2443778111,0.784107946,1.166416792,1479.85348
812097.5952,2.010869565,10.82608696,1.826086957,0.08378216637,10.2716936,0.1555954518,3,0.004662004662,214500,-0.4122137405,3.618320611,-0.7633587786,-0.2443778111,0.8020989505,1.16191904,1480.586081
812102.5391,1.989130435,10.84782609,1.836956522,-0.009575104728,10.31238779,0.1484141233,3,0.005106005106,195847.8261,-0.4427480916,3.496183206,-0.7633587786,-0.2443778111,0.8020989505,1.16191904,1475.457875
812107.4829,1.989130435,10.85869565,1.836956522,-0.02872531418,10.331538,0.1460203471,3,0.004662004662,214500,-0.4427480916,3.786259542,-0.9618320611,-0.2368815592,0.7871064468,1.163418291,1475.457875
812112.4268,1.97826087,10.86956522,1.815217391,0.05026929982,10.29084381,0.1651705566,3,0.004662004662,214500,-0.1526717557,3.603053435,-0.7786259542,-0.2368815592,0.7871064468,1.163418291,1480.586081
812117.3706,1.989130435,10.83695652,1.815217391,0.03351286655,10.31238779,0.2058647516,3,0.004662004662,214500,-0.4580152672,3.374045802,-0.8702290076,-0.2458770615,0.7751124438,1.163418291,1483.516484
812122.3145,1.989130435,10.84782609,1.847826087,0.03590664273,10.30520646,0.2034709755,3,0.004662004662,214500,-0.5038167939,3.328244275,-0.7175572519,-0.2458770615,0.7751124438,1.163418291,1477.655678
812127.2583,1.967391304,10.85869565,1.826086957,0.026331538,10.2812687,0.2465589467,3,0.005106005106,195847.8261,-0.427480916,3.297709924,-0.9465648855,-0.2428785607,0.7766116942,1.166416792,1477.655678
812132.2021,1.989130435,10.84782609,1.847826087,0.078994614,10.29563136,0.2082585278,3,0.004662004662,214500,-0.3816793893,2.839694656,-0.9770992366,-0.2428785607,0.7766116942,1.166416792,1476.190476
812137.146,1.97826087,10.83695652,1.847826087,0.05745062837,10.28605625,0.2585278276,3,0.004662004662,214500,-0.2900763359,2.610687023,-0.8702290076,-0.2473763118,0.7856071964,1.169415292,1476.923077
812142.0898,1.967391304,10.83695652,1.847826087,0.05505685218,10.34590066,0.1364452424,3,0.004662004662,214500,-0.4427480916,1.938931298,-0.8549618321,-0.2473763118,0.7856071964,1.169415292,1476.923077
812147.0337,1.967391304,10.81521739,1.847826087,0.04069419509,10.31238779,0.1699581089,3,0.005106005106,195847.8261,-0.3511450382,1.801526718,-0.7022900763,-0.2488755622,0.7976011994,1.166416792,1476.923077
812151.9775,1.989130435,10.82608696,1.847826087,0.02872531418,10.32914423,0.1962896469,3,0.005106005106,195847.8261,-0.7022900763,2.045801527,-0.7480916031,-0.2488755622,0.7976011994,1.166416792,1477.655678
812156.9214,1.989130435,10.82608696,1.836956522,0.06941950928,10.27408737,0.1603830042,3,0.004662004662,214500,-0.5648854962,2.045801527,-0.7022900763,-0.2488755622,0.7856071964,1.16191904,1475.457875
812161.8652,1.989130435,10.82608696,1.858695652,0.06463195691,10.31478157,0.1675643327,3,0.004662004662,214500,-0.427480916,2.030534351,-1.022900763,-0.2488755622,0.7856071964,1.16191904,1471.062271
812166.8091,1.967391304,10.82608696,1.836956522,0.04069419509,10.26451227,0.1699581089,3,0.005106005106,195847.8261,-0.5038167939,1.679389313,-0.8702290076,-0.2488755622,0.7856071964,1.16191904,1473.260073
812169.281,1.97826087,10.80434783,1.836956522,0.03111909037,10.28605625,0.2082585278,3,0.004662004662,214500,-0.4427480916,1.679389313,-0.8091603053,-0.2473763118,0.7751124438,1.167916042,1472.527473
812174.2249,1.989130435,10.83695652,1.836956522,0.04308797127,10.29084381,0.1891083184,3,0.004662004662,214500,-0.4122137405,1.709923664,-0.7633587786,-0.2473763118,0.7751124438,1.167916042,1471.062271
812179.1687,1.97826087,10.81521739,1.826086957,0.02154398564,10.27408737,0.157989228,3,0.004662004662,214500,-0.534351145,1.786259542,-0.7175572519,-0.2413793103,0.7826086957,1.167916042,1477.655678
812184.1125,1.97826087,10.81521739,1.836956522,0.0933572711,10.31478157,0.157989228,3,0.005106005106,195847.8261,-0.4580152672,1.511450382,-0.6259541985,-0.2413793103,0.7826086957,1.167916042,1474.725275
812189.0564,1.989130435,10.82608696,1.847826087,0.026331538,10.3219629,0.1723518851,3,0.005106005106,195847.8261,-0.5496183206,1.389312977,-0.8702290076,-0.2473763118,0.7901049475,1.175412294,1475.457875
812194.0002,2,10.82608696,1.836956522,0.05745062837,10.30999402,0.1627767804,3,0.005106005106,195847.8261,-0.4427480916,1.526717557,-0.7633587786,-0.2473763118,0.7901049475,1.175412294,1472.527473
812198.9441,1.967391304,10.82608696,1.815217391,0.08378216637,10.33393178,0.1771394375,3,0.005106005106,195847.8261,-0.3664122137,1.709923664,-0.4732824427,-0.2458770615,0.7736131934,1.169415292,1479.85348
812203.8879,1.956521739,10.82608696,1.826086957,0.01436265709,10.29084381,0.1651705566,3,0.005106005106,195847.8261,-0.4885496183,1.847328244,-0.8549618321,-0.2458770615,0.7736131934,1.169415292,1477.655678
812208.8318,1.97826087,10.83695652,1.815217391,0.08617594255,10.30041891,0.184320766,3,0.004662004662,214500,-0.534351145,2.152671756,-0.9312977099,-0.2503748126,0.7826086957,1.164917541,1483.516484
812213.7756,1.97826087,10.82608696,1.826086957,0.052663076,10.26929982,0.1340514662,3,0.004662004662,214500,-0.3511450382,2.366412214,-0.7480916031,-0.2503748126,0.7826086957,1.164917541,1480.586081
812218.7195,1.967391304,10.81521739,1.815217391,0.03111909037,10.28845003,0.1412327947,3,0.005106005106,195847.8261,-0.1832061069,2.106870229,-0.8244274809,-0.23988006,0.7796101949,1.164917541,1482.051282
812223.6633,1.989130435,10.82608696,1.826086957,0.1005385996,10.29802513,0.1938958707,3,0.005106005106,195847.8261,-0.5190839695,2.305343511,-0.6106870229,-0.23988006,0.7796101949,1.164917541,1481.318681
812228.6072,1.989130435,10.82608696,1.847826087,0.05505685218,10.30520646,0.1172950329,3,0.004662004662,214500,-0.3969465649,2.015267176,-0.7022900763,-0.2473763118,0.7676161919,1.16191904,1478.388278
812233.551,1.989130435,10.82608696,1.847826087,0.04787552364,10.2716936,0.1675643327,3,0.005106005106,195847.8261,-0.2442748092,1.740458015,-1.099236641,-0.2473763118,0.7676161919,1.16191904,1476.190476
812238.4949,1.97826087,10.81521739,1.847826087,0.03830041891,10.27887493,0.1915020946,3,0.004662004662,214500,-0.4732824427,1.847328244,-0.8396946565,-0.2503748126,0.7781109445,1.16191904,1476.190476
812243.4387,1.97826087,10.83695652,1.836956522,0.06941950928,10.34111311,0.1819269898,3,0.005106005106,195847.8261,-0.320610687,2,-0.6717557252,-0.2503748126,0.7781109445,1.16191904,1473.992674
812248.3826,1.97826087,10.83695652,1.836956522,0.078994614,10.25972472,0.1723518851,3,0.004662004662,214500,-0.4122137405,1.847328244,-0.9770992366,-0.2428785607,0.7766116942,1.15892054,1472.527473
812253.3264,1.967391304,10.80434783,1.836956522,0.05505685218,10.29084381,0.1747456613,3,0.005106005106,195847.8261,-0.4732824427,2.076335878,-0.9007633588,-0.2428785607,0.7766116942,1.15892054,1473.260073
812258.2703,1.967391304,10.83695652,1.858695652,0.06941950928,10.31238779,0.1627767804,3,0.004662004662,214500,-0.2900763359,1.709923664,-0.8091603053,-0.2503748126,0.7856071964,1.16191904,1472.527473
812263.2141,1.989130435,10.81521739,1.869565217,0.03590664273,10.29563136,0.1867145422,3,0.005106005106,195847.8261,-0.3816793893,1.740458015,-0.8091603053,-0.2503748126,0.7856071964,1.16191904,1469.59707
812268.158,1.989130435,10.81521739,1.869565217,0.06463195691,10.36026332,0.1532016756,3,0.004662004662,214500,-0.4732824427,1.740458015,-0.9312977099,-0.2503748126,0.7796101949,1.16191904,1468.131868
812273.1018,1.97826087,10.83695652,1.847826087,0.05026929982,10.2716936,0.1651705566,3,0.004662004662,214500,-0.4122137405,1.541984733,-0.9923664122,-0.2503748126,0.7796101949,1.16191904,1472.527473
812278.0457,1.989130435,10.83695652,1.815217391,0.03351286655,10.27648115,0.1795332136,3,0.005106005106,195847.8261,-0.1832061069,1.679389313,-0.8244274809,-0.2458770615,0.7871064468,1.16041979,1480.586081
812282.9895,1.97826087,10.82608696,1.815217391,0.06702573309,10.27648115,0.1412327947,3,0.005106005106,195847.8261,-0.320610687,1.679389313,-0.9007633588,-0.2458770615,0.7871064468,1.16041979,1484.249084
812287.9333,1.989130435,10.83695652,1.847826087,0.052663076,10.30041891,0.1819269898,3,0.005106005106,195847.8261,-0.427480916,1.847328244,-0.9312977099,-0.2488755622,0.7766116942,1.15892054,1477.655678
812292.8772,2,10.82608696,1.836956522,0.04787552364,10.28605625,0.1867145422,3,0.005106005106,195847.8261,-0.213740458,1.923664122,-0.5038167939,-0.2488755622,0.7766116942,1.15892054,1473.992674
812297.821,1.989130435,10.83695652,1.847826087,0.04308797127,10.29563136,0.1795332136,3,0.005106005106,195847.8261,-0.03053435115,1.755725191,-0.7022900763,-0.2503748126,0.7781109445,1.166416792,1476.923077
812302.7649,1.97826087,10.82608696,1.826086957,0.06463195691,10.32675045,0.1747456613,3,0.005106005106,195847.8261,-0.2900763359,1.938931298,-0.5954198473,-0.2503748126,0.7781109445,1.166416792,1478.388278
812307.7087,1.967391304,10.81521739,1.826086957,0.05984440455,10.30281269,0.1867145422,3,0.005106005106,195847.8261,-0.01526717557,2.13740458,-0.9618320611,-0.2428785607,0.7826086957,1.167916042,1479.85348
812312.6526,1.967391304,10.82608696,1.815217391,0.05026929982,10.29323758,0.1795332136,3,0.004662004662,214500,-0.1832061069,2.198473282,-0.9923664122,-0.2428785607,0.7826086957,1.167916042,1482.051282
812317.5964,1.989130435,10.83695652,1.826086957,0.04548174746,10.26929982,0.210652304,3,0.005106005106,195847.8261,-0.2290076336,2.213740458,-0.8091603053,-0.2428785607,0.784107946,1.16041979,1480.586081
812322.5403,2,10.83695652,1.815217391,0.078994614,10.30041891,0.1627767804,3,0.004662004662,214500,-0.1679389313,2.290076336,-0.7786259542,-0.2428785607,0.784107946,1.16041979,1479.85348
812327.4841,1.989130435,10.83695652,1.836956522,0.02872531418,10.2812687,0.1915020946,3,0.005106005106,195847.8261,-0.2595419847,2.290076336,-0.6717557252,-0.2383808096,0.7781109445,1.164917541,1476.190476
812332.428,2.010869565,10.82608696,1.826086957,0.03830041891,10.2716936,0.2178336326,3,0.004662004662,214500,-0.4427480916,2.305343511,-0.7938931298,-0.2383808096,0.7781109445,1.164917541,1477.655678
812337.3718,1.97826087,10.81521739,1.836956522,0.06941950928,10.29323758,0.2537402753,3,0.004662004662,214500,-0.3816793893,2.015267176,-0.6870229008,-0.2383808096,0.7796101949,1.16041979,1473.260073
812342.3157,2,10.82608696,1.836956522,0.007181328546,10.3219629,0.2298025135,3,0.004662004662,214500,-0.4732824427,1.786259542,-0.7328244275,-0.2383808096,0.7796101949,1.16041979,1472.527473
