Shimmer_3B52_TimestampSync_FormattedUnix_CAL,Shimmer_3B52_Accel_LN_X_CAL,Shimmer_3B52_Accel_LN_Y_CAL,Shimmer_3B52_Accel_LN_Z_CAL,Shimmer_3B52_Accel_WR_X_CAL,Shimmer_3B52_Accel_WR_Y_CAL,Shimmer_3B52_Accel_WR_Z_CAL,Shimmer_3B52_GSR_Range_CAL,conductance,Shimmer_3B52_GSR_Skin_Resistance_CAL,Shimmer_3B52_Gyro_X_CAL,Shimmer_3B52_Gyro_Y_CAL,Shimmer_3B52_Gyro_Z_CAL,Shimmer_3B52_Mag_X_CAL,Shimmer_3B52_Mag_Y_CAL,Shimmer_3B52_Mag_Z_CAL,Shimmer_3B52_PPG_A13_CAL,,time
2023/06/29 14:13:01,8.195652174,0.1956521739,8.108695652,7.068821065,-1.960502693,7.085577499,1,9.243021787,108.1897266,-0.7022900763,1.007633588,-1.053435115,-0.2083958021,0.2128935532,-0.251874063,1436.630037,13:01,781
2023/06/29 14:13:01,8.25,0.2173913043,8.043478261,7.02812687,-1.946140036,7.107121484,1,9.212390397,108.5494597,-0.6106870229,1.038167939,-0.8244274809,-0.2068965517,0.2173913043,-0.251874063,1439.56044,13:01,781
2023/06/29 14:13:01,8.239130435,0.2065217391,8.02173913,7.023339318,-1.92459605,7.102333932,1,9.176653776,108.9721836,-0.7786259542,0.9312977099,-0.5038167939,-0.2053973013,0.2203898051,-0.2473763118,1445.421245,13:01,781
2023/06/29 14:13:01,8.22826087,0.1739130435,8.032608696,7.035308199,-1.938958707,7.099940156,1,9.151127618,109.2761506,-0.5954198473,1.267175573,-0.6870229008,-0.2053973013,0.2173913043,-0.2503748126,1444.688645,13:01,781
2023/06/29 14:13:02,8.25,0.152173913,8.076086957,7.032914423,-1.936564931,7.102333932,1,9.115390997,109.7045645,-0.4885496183,1.511450382,-1.099236641,-0.2053973013,0.2143928036,-0.2473763118,1439.56044,13:02,782
2023/06/29 14:13:02,8.293478261,0.1739130435,8.02173913,7.059245961,-1.955715141,7.087971275,1,9.089864839,110.0126369,-0.6259541985,1.877862595,-0.7328244275,-0.2068965517,0.2173913043,-0.2488755622,1445.421245,13:02,782
2023/06/29 14:13:02,8.22826087,0.1847826087,8.032608696,7.016157989,-1.919808498,7.104727708,1,9.069443913,110.2603434,-0.7022900763,0.7786259542,-0.320610687,-0.2053973013,0.227886057,-0.2473763118,1444.688645,13:02,782
2023/06/29 14:13:02,8.27173913,0.1739130435,8.032608696,7.02812687,-1.926989826,7.083183722,1,9.043917755,110.5715495,-0.534351145,1.419847328,-0.534351145,-0.2128935532,0.227886057,-0.2413793103,1444.688645,13:02,782
2023/06/29 14:13:02,8.239130435,0.1630434783,8.032608696,7.013764213,-1.917414722,7.087971275,1,9.023496828,110.8217822,-0.5801526718,1.022900763,-0.5954198473,-0.203898051,0.2173913043,-0.2473763118,1443.956044,13:02,782
2023/06/29 14:13:03,8.206521739,0.1847826087,8.043478261,7.030520646,-1.926989826,7.092758827,1,8.99797067,111.1361702,-0.6717557252,1.664122137,-0.3664122137,-0.2068965517,0.2248875562,-0.2443778111,1443.223443,13:03,783
2023/06/29 14:13:03,8.293478261,0.1304347826,7.97826087,6.989826451,-1.888689408,7.07839617,1,8.977549744,111.3889679,-0.4580152672,1.374045802,-0.6717557252,-0.2068965517,0.215892054,-0.251874063,1453.479853,13:03,783
2023/06/29 14:13:03,8.260869565,0.2173913043,8.043478261,7.016157989,-1.931777379,7.111909037,1,8.957128818,111.6429182,-1.083969466,1.053435115,-0.427480916,-0.2098950525,0.2218890555,-0.2473763118,1448.351648,13:03,783
2023/06/29 14:13:03,8.22826087,0.2065217391,8.032608696,7.044883303,-1.950927588,7.102333932,1,8.93160266,111.9619891,-0.3358778626,1.022900763,-0.7633587786,-0.2128935532,0.2203898051,-0.2533733133,1446.153846,13:03,783
2023/06/29 14:13:03,8.195652174,0.1630434783,8.043478261,7.018551765,-1.917414722,7.095152603,1,8.911181733,112.218562,-0.4885496183,1.175572519,-0.7328244275,-0.215892054,0.2203898051,-0.2488755622,1444.688645,13:03,783
2023/06/29 14:13:04,8.22826087,0.1847826087,8.065217391,7.032914423,-1.92459605,7.090365051,1,8.890760807,112.4763135,-0.6717557252,1.557251908,-0.8549618321,-0.2053973013,0.2233883058,-0.2533733133,1443.223443,13:04,784
2023/06/29 14:13:04,8.239130435,0.1847826087,8.02173913,7.02812687,-1.950927588,7.111909037,1,8.870339881,112.7352518,-0.5954198473,0.106870229,-0.9770992366,-0.2068965517,0.2233883058,-0.2413793103,1447.619048,13:04,784
2023/06/29 14:13:04,8.206521739,0.2391304348,8.010869565,7.066427289,-1.958108917,7.090365051,1,8.849918954,112.9953851,-0.9770992366,1.038167939,-0.9160305344,-0.2173913043,0.215892054,-0.2473763118,1446.153846,13:04,784
2023/06/29 14:13:04,8.27173913,0.1630434783,8.054347826,7.018551765,-1.917414722,7.092758827,1,8.824392797,113.3222447,-0.9160305344,1.86259542,-0.8244274809,-0.2068965517,0.2188905547,-0.2443778111,1441.025641,13:04,784
